,"HARTFORD 2.0 SW, CT US","WEST HARTFORD 2.1 NNE, CT US","NEW HARTFORD CENTER 1.5 N, CT US","WEST HARTFORD 1.1 W, CT US","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","EAST HARTFORD 1.3 E, CT US","WEST HARTFORD 2.7 SSE, CT US","WEST HARTFORD 2.3 NNE, CT US","HARTFORD BRAINARD FIELD, CT US","STAMFORD 5 N, CT US","STAMFORD 4.2 S, CT US","WEST HARTFORD 1.1 NNE, CT US"
2020-01-01,0.0,0.5,0.0,0.03,0.0,0.0,0.19,0.0,0.0,0.0,0.07,0.01
2020-01-02,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.09,0.0
2020-01-04,0.0,0.5,0.04,0.08,0.22,0.05,0.19,0.07,0.22,0.0,0.22,0.09
2020-01-05,0.0,0.5,0.19,0.18,0.0,0.18,0.19,0.16,0.02,0.0,0.04,0.13
2020-01-06,0.0,0.5,0.0,0.0,0.01,0.01,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.5,0.01,0.0,0.0,0.0,0.19,0.0,0.01,0.0,0.0,0.0
2020-01-08,0.0,0.5,0.0,0.0,0.0,0.02,0.19,0.01,0.0,0.0,0.02,0.0
2020-01-09,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.5,0.0,0.0,0.2,0.09,0.19,0.08,0.11,0.0,0.07,0.09
2020-01-13,0.0,0.5,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03
2020-01-14,0.0,0.5,0.02,0.0,0.02,0.0,0.19,0.01,0.01,0.0,0.0,0.01
2020-01-15,0.0,0.5,0.03,0.0,0.0,0.0,0.19,0.01,0.0,0.0,0.02,0.01
2020-01-16,0.17,0.5,0.09,0.12,0.09,0.14,0.19,0.13,0.15,0.0,0.08,0.15
2020-01-17,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.5,0.0,0.0,0.38,0.0,0.19,0.0,0.35,0.0,0.0,0.0
2020-01-19,0.0,0.5,0.47,0.39,0.0,0.43,0.19,0.03,0.01,0.0,0.6,0.46
2020-01-20,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.5,0.0,0.0,0.86,0.0,0.19,0.0,0.87,0.0,0.0,0.0
2020-01-26,0.0,0.5,1.13,1.06,0.0,0.91,0.19,1.01,0.0,0.0,1.45,1.05
2020-01-27,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.5,0.01,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.5,0.01,0.0,0.0,0.02,0.19,0.0,0.0,0.0,0.0,0.02
2020-02-02,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.5,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.01,0.5,0.0,0.0,0.01,0.03,0.19,0.03,0.01,0.0,0.0,0.03
2020-02-06,0.34,0.31,0.35,0.0,0.36,0.35,0.19,0.32,0.34,0.0,0.0,0.31
2020-02-07,0.14,0.44,0.16,0.0,0.33,0.2,0.19,0.11,0.34,0.0,0.0,0.0
2020-02-08,0.14,0.0,0.32,0.0,0.0,0.27,0.19,0.2,0.0,0.0,0.0,0.3
2020-02-09,0.14,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.14,0.01,0.19,0.19,0.27,0.19,0.19,0.19,0.26,0.0,0.0,0.19
2020-02-11,0.15,0.01,0.19,0.14,0.13,0.13,0.19,0.14,0.28,0.0,0.0,0.16
2020-02-12,0.15,0.01,0.19,0.14,0.0,0.25,0.19,0.17,0.01,0.0,0.0,0.19
2020-02-13,0.15,0.01,0.65,0.14,0.65,0.71,0.19,0.76,0.77,0.0,0.0,0.78
2020-02-14,0.08,0.01,0.11,0.0,0.0,0.07,0.19,0.11,0.0,0.0,0.0,0.06
2020-02-15,0.08,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.06
2020-02-16,0.08,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.06
2020-02-17,0.08,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.06
2020-02-18,0.08,0.01,0.0,0.0,0.17,0.0,0.19,0.0,0.15,0.0,0.0,0.06
2020-02-19,0.08,0.01,0.2,0.17,0.0,0.18,0.19,0.18,0.0,0.0,0.01,0.17
2020-02-20,0.0,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17
2020-02-21,0.0,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17
2020-02-22,0.0,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17
2020-02-23,0.0,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17
2020-02-24,0.0,0.01,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.17
